,beds,baths,size,zip_code,price
0,3,2.5,2590,329415,795000
1,4,2,2240,471111,915000
2,4,3,2040,235074,950000
3,4,3,3800,241303,1950000
4,2,2,1042,240935,950000
5,2,2,1190,315012,740000
6,1,1,670,459026,460000
7,5,3.5,4510,530441,3150000
8,3,2.5,1520,544041,565000
9,4,2,2340,560541,699000
10,3,2,1320,508741,899000
11,3,2,1800,610366,1050000
12,3,2.5,2490,630155,935625
13,4,3,2650,636221,1511000
14,5,1.5,2560,641097,1330000
15,2,1.5,900,715005,549755
16,3,3.5,1360,725452,700000
17,1,1,550,773728,330000
18,3,2.5,2974,841354,1750000
19,4,3.5,1989,864494,980000
20,2,2,1332,869239,845000
21,4,3,2668,879677,1213000
22,2,1,770,941796,530000
23,3,1.5,1280,968284,625000
24,5,3.5,3200,993530,1275000
25,2,1.5,889,100277,680000
26,1,1,508,100577,325000
27,3,2,3140,100903,1219700
28,4,2,2000,101227,907200
29,1,1,792,101542,517000
30,3,2.5,1690,102537,760000
31,4,5.5,3000,102688,1484000
32,3,3,1550,103425,950000
33,2,2,871,104011,430000
34,4,1.5,1940,104606,520000
35,1,1,474,104991,335000
36,3,2,1770,105227,805000
37,5,5,2510,105592,1000000
38,1,1,750,105836,375000
39,1,1,573,106738,390000
40,3,2.5,1500,107094,1070000
41,5,4,2920,107597,948000
42,3,2,2817,107766,912000
43,1,1,617,107777,480000
44,2,2,1280,107781,776000
45,2,2,1523,107811,1395000
46,2,1,1240,108355,750000
47,4,2.5,2280,108693,1065000
48,5,3.5,3590,108780,2350000
49,4,3.5,2478,109125,1580000
50,3,3,2360,109137,1775000
51,2,1,720,109393,600000
52,3,2,2480,110499,800000
53,3,2,1550,110516,1100000
54,2,1,780,110907,750000
55,5,3,2820,111392,865000
56,5,3,2900,111930,1450000
57,2,2,1092,112014,829000
58,3,2,1731,112033,575000
59,3,2.5,1500,112044,860000
60,2,2.5,1344,112141,770000
61,4,5.5,4040,112615,5495000
62,5,3,2320,113083,560000
63,5,3,2820,113649,900000
64,3,1,1070,114525,575000
65,2,1,1113,114530,595000
66,4,2,2100,114630,950000
67,3,2.5,2620,114888,1300000
68,3,2,1270,115731,727000
69,3,2,2702,115849,1605000
70,4,3.5,2031,116870,1480000
71,3,2,2350,117479,888000
72,4,1.5,2640,117896,1850000
73,3,1.5,1340,118125,615000
74,6,3.5,8660,118164,4100000
75,2,2.5,1365,119459,525000
76,1,1,635,120936,509950
77,3,1,1800,121696,549000
78,2,1,870,122330,555000
79,3,3.5,1510,123148,660000
80,3,1,1120,123371,615000
81,4,2.5,2580,124128,1635000
82,2,2,875,126032,420000
83,3,4,2220,126869,1650000
84,1,1,607,127035,427000
85,3,2,1496,127182,910000
86,4,3.5,2670,127669,1022700
87,2,1.5,1810,127720,925000
88,1,1,582,128110,360000
89,2,2,1006,128112,928000
90,3,5.5,1530,128275,635000
91,2,1,820,128602,490000
92,3,2,1960,128758,950000
93,4,3,2110,129190,760000
94,4,3.5,3010,129565,985000
95,3,1,2200,129571,1250000
96,3,2.5,1820,129615,690000
97,4,4,3040,130228,1585000
98,3,2,1800,131259,936000
99,1,1,800,131315,450000
100,3,3,1450,131964,750000
101,1,1,756,132073,550000
102,1,1,742,132795,354000
103,4,2,2400,133337,1385000
104,2,2,1607,133548,1865000
105,4,3.5,3057,133771,1800000
106,1,1,649,136650,346600
107,4,4,3142,137541,1600000
108,3,1,1050,137810,399950
109,3,2,1720,137951,855000
110,3,3.5,2650,138759,1095000
111,2,1.5,2680,139011,1125000
112,4,2.5,2550,139276,1560000
113,9,4,3800,139663,1343000
114,2,2,1320,139728,525000
115,4,2,1910,140362,630000
116,2,1,773,141734,360000
117,1,1,589,141773,375000
118,1,1,510,141791,302500
119,4,3.5,2661,141902,1165000
120,2,2,843,142206,346250
121,4,3,2250,142335,1150000
122,4,1.5,2080,143523,950000
123,3,3.5,1370,143568,699500
124,1,1,699,143712,335000
125,2,3,1840,144843,800000
126,4,3.5,3040,144916,1495000
127,2,1,858,145280,500000
128,5,8.5,3110,145798,1606500
129,2,2,1147,146693,749950
130,2,1,868,146824,415000
131,2,2.5,1538,147291,895000
132,2,1,1480,147329,720000
133,2,2,932,147355,435000
134,2,2,981,147406,450000
135,2,2,866,148067,555000
136,4,3.5,2000,148633,870000
137,3,3.5,1470,148792,845000
138,2,2,1840,148881,1200000
139,4,2,2230,149344,925000
140,2,1.5,1290,149688,795000
141,3,2.5,1670,150019,600000
142,1,1,630,150223,459000
143,3,2,1880,150374,911000
144,2,2,1188,151829,1350000
145,2,1.5,1300,151949,570288
146,1,1,857,152179,529000
147,2,2,1071,152495,605000
148,5,4,2810,152957,1295000
149,4,2.5,2400,153196,1595000
150,3,3.5,1670,153575,600000
151,3,2.5,2734,153987,1605200
152,3,2.5,1670,154163,865000
153,3,3,1530,154371,745000
154,4,1,1720,154537,543750
155,3,1,1200,154546,1099950
156,5,3,2030,154817,905000
157,3,2,2370,155771,1200000
158,3,1.5,1720,156061,825000
159,1,1,813,156283,680000
160,3,2,1590,156379,720000
161,1,1,626,157351,389200
162,2,1,840,157650,489000
163,2,2,1030,158324,575000
164,5,2.5,2870,158929,520000
165,1,1,792,160369,675000
166,2,1.5,994,160924,580000
167,3,2,1630,160991,630000
168,3,1.5,1172,161001,685000
169,3,2,1806,161263,799000
170,4,2.5,3060,161700,1450000
171,5,3.5,3820,161854,1350000
172,2,2,1328,161955,510000
173,3,2.5,2350,162123,1582800
174,3,2.5,2080,164724,977000
175,3,1,1000,165025,710000
176,2,1.5,1131,165589,685000
177,4,3,2230,166000,1205000
178,5,3,3130,166530,2095000
179,5,3,3750,166548,1580000
180,2,2,1080,166805,450000
181,2,2,1720,167480,985000
182,1,1,854,168069,455000
183,3,2,1286,168697,738000
184,2,1.5,1230,169074,650000
185,2,1,1422,169505,715000
186,4,3.5,3956,169814,3200000
187,6,5,3620,170916,1420000
188,3,1.5,1370,170926,659950
189,1,1,700,171941,325100
190,2,3,1824,172344,2458000
191,1,1,956,173801,870000
192,4,2,2370,174077,1350000
193,4,2.5,2200,174097,825000
194,6,3,3020,175111,775000
195,5,3,3400,175187,756500
196,3,1,1660,175778,749900
197,4,2,2080,176067,675000
198,2,1.5,917,176480,625000
199,2,1,900,176775,480000
200,4,4.5,3960,176845,2485000
201,1,1,889,177880,723000
202,5,3.5,3310,177985,1575000
203,1,1,621,179010,289900
204,3,3.5,1467,179152,859990
205,4,2,1910,179456,685000
206,3,2.5,1563,180138,839950
207,5,3.5,3340,180299,980000
208,4,3,2390,180685,1300000
209,2,1.5,1131,180792,670000
210,2,2,1201,181007,699950
211,3,3,1940,181212,450000
212,1,1,519,181222,354000
213,2,1,1760,181312,715000
214,4,3,1680,181972,905000
215,2,2,1192,182489,719950
216,4,4,2300,183584,1440000
217,3,2.5,2304,184941,1100000
218,4,4,2650,184983,1000000
219,5,4,4210,185258,2625000
220,4,3,2840,185371,1350000
221,2,1,980,185745,863000
222,4,4.5,2440,185800,1900000
223,2,2,1140,186784,590000
224,4,3.5,1824,186871,1299000
225,2,2,1115,186918,1069000
226,4,3,2478,187325,2095000
227,2,2,1140,187386,665000
228,3,1.5,1172,187792,685000
229,2,2,1433,187859,750000
230,3,2,1520,188075,760000
231,3,2.5,1380,188490,590000
232,15,6,11010,188558,3700000
233,4,2,1750,189066,1025000
234,3,2.5,3590,189388,1725000
235,1,1,646,190269,332000
236,5,3,2040,190522,605000
237,2,2,1560,191150,980000
238,2,2.5,1088,191153,835000
239,2,1,1460,192291,400000
240,3,2,1380,193115,800000
241,2,1,1000,193454,793000
242,2,2,1128,194271,625000
243,1,1,776,195210,515000
244,3,2.5,2000,196705,799000
245,3,2,2029,197873,685000
246,4,5.5,2867,198442,1750000
247,4,3,1180,199450,956300
248,3,2,1920,200108,1067000
249,2,2,2220,200122,551000
250,2,3,1300,200495,780000
251,1,1,596,200539,445000
252,3,2,1460,200649,583000
253,3,2.5,2500,200719,1685000
254,3,2.5,1540,201033,852500
255,5,3,2550,201248,940000
256,2,2,1018,201832,545000
257,3,2.5,1520,202053,540700
258,1,1,640,202100,345000
259,4,3,2190,202221,860000
260,2,1,930,202543,620000
261,5,2.5,2900,204674,800000
262,4,3.5,2780,205085,950000
263,3,1,2560,205205,776000
264,1,1,613,206215,325000
265,3,2.5,1566,206278,875000
266,2,2,1245,206730,330000
267,3,2.5,1190,206888,750000
268,5,2.5,2760,207057,1025000
269,4,1.5,3260,207841,1695000
270,4,3,2380,208063,1399999
271,2,2.5,1884,209126,925000
272,3,2.5,1712,209495,910000
273,2,2,1196,209607,734999
274,3,2,1098,209952,864950
275,3,3,1250,211603,815000
276,1,1,880,211665,700000
277,2,1.5,822,211676,400000
278,4,2,1595,212239,525000
279,3,3,2380,212424,1230000
280,3,2,3190,212860,2700000
281,3,2.5,1465,213178,1175000
282,4,2,2910,213256,1400000
283,2,3,1140,213489,675000
284,1,1,500,213867,385000
285,3,2,1580,214659,942000
286,1,1,683,214918,601000
287,5,3,2430,215173,915000
288,2,2,1128,215336,479950
289,2,2,2360,216325,1460000
290,3,2.5,1396,217096,780000
291,1,1,615,218787,485000
292,4,2,2340,218827,925000
293,4,1.5,2140,218836,700500
294,4,3,2980,219182,1090000
295,3,1.5,1390,219209,412000
296,2,1,720,219252,525000
297,1,1,712,219351,325000
298,4,2.5,1850,219554,945000
299,3,4.5,1710,220351,725000
300,2,1,970,220645,386000
301,3,2,1606,220971,1450000
302,3,2.5,1815,221584,1295000
303,2,1,1120,221651,700000
304,4,2,2220,222439,995000
305,1,1,570,222500,345000
306,3,2,1460,223362,888000
307,5,3,3820,223801,1575000
308,3,3.5,2480,224587,1795000
309,5,3,2777,224789,1338600
310,2,2,1170,225981,624999
311,1,1,587,226020,260000
312,3,1,1430,227452,980000
313,2,5.5,1320,227495,679950
314,2,2,2170,228063,893000
315,1,1,635,228275,495000
316,3,1.5,1630,228489,895000
317,2,2,1900,228528,1310000
318,3,2,1760,228829,689000
319,3,2.5,1712,229346,970000
320,4,2.5,3190,229700,1820000
321,4,3.5,3590,231021,2900000
322,1,1,630,231474,255000
323,2,2,1150,231826,615000
324,5,2,1830,232887,665000
325,2,1,760,233285,250000
326,3,2.5,2600,234205,1148000
327,3,2,2130,234760,990200
328,3,3.5,2899,235986,1800000
329,3,1,1090,239567,400000
330,4,4,3360,239835,1200000
331,4,2.5,2240,239982,1050000
332,2,1,886,240696,620000
333,3,2,1560,241734,799000
334,4,2,1730,243345,852000
335,3,2,1700,243604,1150000
336,4,3.5,1909,243651,1500000
337,3,2,2180,244006,1012000
338,1,1,681,244181,470000
339,3,3,1460,244502,1000000
340,1,1,704,244838,365000
341,2,1,1010,244880,549950
342,2,2.5,1635,245345,1850000
343,2,1.5,1022,245936,655000
344,3,1,990,245961,635000
345,2,2,1164,245971,706474
346,1,1,583,246406,349000
347,2,1.5,888,246602,700000
348,4,2,2740,248377,1400000
349,3,2,1670,249523,485000
350,3,1,830,249803,660000
351,2,2,1200,250320,705000
352,3,3.5,2530,251115,1299000
353,4,3,2660,251918,1360000
354,4,2,2820,252405,1441000
355,2,1,1011,252495,159488
356,2,1.5,1088,252517,590000
357,6,3.5,3785,253161,3150000
358,3,2,1540,253777,630000
359,2,1.5,1180,254200,575000
360,3,3.5,1968,254684,980000
361,1,1,610,255340,340000
362,2,2,1346,255633,800000
363,2,2.5,1320,256619,570000
364,3,3.5,3064,256725,2450000
365,3,2,2980,257092,1415000
366,4,3.5,3050,257479,2250000
367,3,2,2020,257610,917500
368,3,2.5,1926,258480,1148000
369,2,1,1330,258555,479000
370,3,2,2410,258559,1083000
371,2,2.5,1580,259229,699000
372,3,1,1030,259457,710000
373,3,3,1630,259854,615000
374,4,2.5,2370,260683,750000
375,1,1,783,260985,530000
376,4,1,1310,261182,735000
377,3,2,1996,261236,986500
378,3,2,1580,261347,820000
379,1,1,781,261420,481000
380,2,2,1517,261438,1350000
381,4,2,2360,261879,950000
382,3,2,1496,262181,824500
383,2,2.5,1250,262381,725000
384,2,2,1810,262554,1350000
385,1,1,531,262886,489000
386,4,2.5,2380,263513,1900000
387,2,2,1095,264083,599950
388,2,2,1080,264333,533500
389,2,2,1146,264727,845000
390,4,2.5,1544,265133,850000
391,1,1,707,265218,590000
392,4,3,2067,265548,1074900
393,4,3,2360,265767,1360000
394,2,2,724,265923,430000
395,2,2.5,1649,265951,765000
396,5,2.5,2180,266400,1009975
397,3,2,1960,266996,955000
398,1,1,727,267054,445000
399,3,2,1209,267317,725000
400,1,1,650,267799,349000
401,5,3,3070,267813,1450000
402,4,2.5,2130,267860,960000
403,4,2.5,2220,268355,1235000
404,4,3,2288,268490,1105000
405,2,2,1370,268657,1050000
406,5,3,3120,268740,795000
407,4,2.5,2180,268771,1275000
408,3,2,1590,269013,560000
409,3,1.5,2220,269659,930000
410,1,1,813,270141,240000
411,1,1,574,272244,280000
412,4,2,2480,272759,825000
413,4,3,3320,272772,750000
414,2,1,1720,273613,575000
415,3,2,2050,274733,1265000
416,4,3,2370,274857,1830000
417,4,5,3660,275685,2695000
418,3,3.5,1670,276170,1115000
419,2,3.5,990,277064,405000
420,3,3,3120,277485,1350000
421,3,2,2260,277885,1300000
422,2,1,650,277905,708888
423,3,3.5,1540,279406,699950
424,3,3.5,1980,279538,1055000
425,3,1,2160,279793,920000
426,4,2.5,3080,281305,1650000
427,2,3,1740,282426,1395000
428,3,2,1900,282764,1766000
429,9,5,3940,282797,1089000
430,2,1.5,1366,282801,839000
431,4,1.5,1920,283030,850000
432,1,1,715,283034,515000
433,3,2.5,1610,283172,895000
434,6,4,2960,283996,1050000
435,4,2,1810,284036,945000
436,2,2,1125,284386,705000
437,2,2,1893,284521,727000
438,3,2,1096,284852,875000
439,3,4.5,3760,284973,1570000
440,4,2.5,2720,285013,1315000
441,2,2,1510,285271,915000
442,2,2,1350,285345,1035000
443,4,3.5,2980,285946,2400000
444,2,2,1443,286100,325000
445,2,2,1170,286442,428000
446,5,2,2260,289079,865000
447,3,2,1990,289253,730000
448,2,1.5,1555,289792,677500
449,3,2,2350,289993,1140000
450,2,1,1440,290067,699950
451,1,1,627,290470,429000
452,1,1,551,290525,410000
453,2,1,770,290819,560000
454,3,2.5,1570,291913,700000
455,1,1,699,292400,390000
456,3,3,2650,292534,1600000
457,2,1.5,1070,293334,850000
458,3,0.5,1941,293727,892700
459,3,2.5,2030,293767,1439000
460,2,1,1620,294387,619000
461,2,2.5,1400,295150,850000
462,3,2,2354,295674,938000
463,2,3.5,1155,295973,219700
464,3,1,1340,296504,785000
465,2,1,903,297524,363500
466,3,1.5,1220,297634,599000
467,2,1,1250,298208,500000
468,2,2,1040,298283,625000
469,2,1,1660,299574,850000
470,1,1,744,299993,345000
471,2,1.5,805,300027,500000
472,3,1,1060,300130,1125000
473,5,3.5,3160,300371,2300000
474,3,3,1120,300409,525000
475,4,2.5,1881,300651,870000
476,5,2.5,3460,300779,2425000
477,1,1,376,301138,1000000
478,2,2,880,301640,680000
479,1,1,794,301719,660000
480,3,2,1340,301821,925000
481,4,2.5,2560,303053,1712000
482,4,2,2178,304364,880000
483,2,1,1180,304624,870260
484,4,3.5,3220,304884,2195000
485,3,3,2070,305131,730000
486,3,2.5,2131,305545,1520000
487,2,3,970,306102,769900
488,6,3.5,2430,306136,870000
489,3,2.5,1395,306183,725000
490,3,2.5,1810,306820,922000
491,2,1,904,306872,520000
492,1,1,717,306966,425000
493,5,3,2170,307010,775000
494,4,3,3120,307283,1670000
495,3,2,1870,307482,849000
496,4,3.5,2285,307897,1500000
497,3,2.5,2783,308670,1640000
498,4,2,2540,309490,1280000
499,2,2,1734,309569,725000
500,2,1,1010,309981,870000
501,3,2.5,1420,310000,890000
502,3,1,1410,310027,475000
503,3,2,2320,310102,880000
504,1,1,553,310359,335000
505,3,2,1719,310808,1160000
506,4,2,2037,311051,1247500
507,1,1,954,311512,555000
508,2,1.5,1370,312376,700000
509,2,1,1480,312909,905000
510,5,4.5,3636,313287,2840000
511,3,1.5,1780,314489,650000
512,3,2,1094,314527,649995
513,1,1,830,315319,695000
514,2,2,834,316114,351000
515,2,1.5,1035,316637,656500
516,4,3,2790,316977,965000
517,2,2,859,317265,499950
518,4,3.5,5690,317519,3630000
519,2,1,772,317559,409000
520,3,1,1430,318085,499800
521,3,2.5,1460,318701,575000
522,3,2.5,1386,319505,999950
523,5,3,2310,320901,780000
524,2,1.5,1340,321668,675000
525,2,4,1291,321727,800500
526,3,2.5,2320,321812,949000
527,3,2.5,2150,323680,1360000
528,2,2,1885,323869,550000
529,3,2,1425,324357,750000
530,3,2.5,1810,324621,1000000
531,2,1,1280,325124,859000
532,3,3,1480,325579,729000
533,3,3,2110,325661,1270000
534,2,1,1027,326022,300000
535,1,1,808,327412,730000
536,3,2.5,1569,327435,950000
537,3,3,2247,328340,1725000
538,3,1,1220,328655,750000
539,2,1,1060,328754,900000
540,4,2,1920,330698,1210000
541,1,1,804,331228,425000
542,2,1,813,331243,452500
543,4,1.5,1740,331770,649950
544,3,1.5,2230,332126,1075000
545,4,2.5,2760,332452,640000
546,3,3,1660,332463,795000
547,3,2.5,1360,332481,805000
548,4,4.5,5200,333010,2600000
549,3,2.5,1573,334312,1030000
550,1,1,700,334615,645000
551,4,3,1700,335574,649000
552,4,3.5,2560,335832,1325000
553,3,2,1330,335986,680000
554,4,2,2180,335988,838000
555,3,2,1350,336114,785000
556,2,1.5,1720,336156,725000
557,4,3.5,3060,336393,3931000
558,2,2,954,336707,380000
559,2,2.5,1460,336872,599950
560,4,3,1540,337150,1108000
561,1,1,709,337278,470000
562,3,1.5,2560,337560,720000
563,1,1,534,338682,324000
564,2,2.5,1440,338776,875000
565,1,1,627,338942,462750
566,3,2.5,1324,339359,649950
567,2,2,1290,341304,635000
568,1,1,748,341939,499000
569,2,2.5,1830,342185,1730000
570,3,2,1660,342411,795000
571,3,1,1964,342467,625000
572,3,2,1460,342525,759000
573,1,1,683,345150,450500
574,4,2,2060,345668,812500
575,4,2,1160,345707,710000
576,3,2,1540,346070,680000
577,1,1,529,346687,265000
578,2,1,1860,346728,898000
579,1,1,648,346766,515000
580,5,4,4490,348497,1150000
581,6,4,2310,349028,849000
582,3,3.5,3130,349584,2350000
583,2,1,2110,349672,376000
584,3,1.5,1590,350542,700000
585,3,2.5,1280,351396,900000
586,2,1,840,352310,495000
587,3,2,2020,353050,950000
588,4,3,3610,353430,2330000
589,4,3.5,2336,353826,1080000
590,2,1,1040,353869,350000
591,1,1,620,354106,399000
592,1,1,728,354295,360000
593,3,2.5,1970,354347,715000
594,4,3,2190,355048,1490000
595,4,3,2120,355489,920000
596,2,2,1415,355765,449000
597,4,3.5,1835,355797,1299950
598,2,4.5,1670,356721,1115000
599,3,3.5,2570,356771,2000000
600,3,2,2060,356907,700000
601,3,2.5,1740,357828,1678000
602,5,3,2510,358014,910000
603,2,2.5,1000,358205,660000
604,3,2,1516,358246,1150000
605,3,1,940,358309,500000
606,4,2,2440,358376,1116000
607,5,4,2470,358641,1005000
608,2,2,1288,359357,755000
609,4,3.5,3240,359454,1995000
610,2,2,693,360161,490000
611,3,2.5,1550,361157,825000
612,4,2,2080,361494,750000
613,4,3,1400,361787,1000000
614,2,2.5,1159,362470,885000
615,2,1.5,901,363564,599000
616,4,3,2900,364706,1175000
617,4,2.5,2052,364796,865000
618,1,1,773,364827,685000
619,2,2,1040,365043,345000
620,2,2,2353,365494,1160000
621,2,2,1212,367364,600000
622,5,2,2640,368006,1000000
623,2,1,1090,368014,580000
624,5,2.5,3960,368306,1850000
625,4,1.5,3030,369675,1500000
626,4,2.5,3080,369848,650000
627,1,1,700,370015,405000
628,2,1.5,1276,370390,885000
629,3,1,910,370463,480000
630,5,3.5,4180,370890,3000000
631,1,1,852,371332,430000
632,5,1.5,2830,371355,766000
633,2,1,970,372219,600000
634,3,2,1576,372308,974999
635,1,1,667,372458,327500
636,3,2,1080,373777,875000
637,2,5.5,2659,373971,6250000
638,5,5,3623,374214,1975000
639,4,3.5,2520,374649,1765000
640,4,3.5,2720,374822,1750000
641,2,2,968,375307,715000
642,2,2,839,376216,385000
643,2,3.5,2080,376481,1495000
644,2,2,693,376834,480000
645,2,2.5,1365,377367,525000
646,2,1,1580,378160,500000
647,2,1,860,379088,750000
648,2,2,1038,380266,600000
649,4,3,2860,381017,1600000
650,1,1,557,381650,370000
651,2,2,1644,382394,2250000
652,5,2,2340,383525,613000
653,3,2.5,1810,383849,1000000
654,2,1,2530,384767,700000
655,3,3.5,1820,384780,1125000
656,2,1,648,386264,430000
657,2,2.5,1448,386408,1325000
658,2,1,1660,387526,535000
659,5,3,2970,387668,1225000
660,5,4,3030,387723,1250000
661,3,2,1400,387853,530000
662,2,1.5,900,387967,549755
663,3,2,2740,388028,1278500
664,2,1,720,388191,545000
665,4,2.5,1880,388855,1050000
666,3,2.5,1681,389301,650000
667,4,2,3325,390325,1650000
668,5,3.5,4397,391110,3400000
669,3,1.5,1540,391534,689000
670,3,1,1530,391611,435000
671,2,2,1015,391662,468000
672,4,3,2340,391768,780000
673,1,1,836,391888,605000
674,1,1,492,391943,205000
675,3,3,1880,392521,999950
676,2,2,1570,392595,849000
677,4,2.5,1806,392999,745000
678,2,2,1595,393167,945000
679,2,2,1526,394028,893000
680,3,2.5,1346,394349,899000
681,3,2,1600,394440,877500
682,2,2,1170,394902,655000
683,3,2.5,1660,395709,690000
684,1,1,707,396090,325000
